# Visuais - GERADO por docs/gerar-visuais.py
# id	aegis	slot	view	nome_ptbr	latam	no_cliente	chao	vestido	veredito
15875	C_King_Of_Spirit_Circle	topo	1118	[Visual] Diadema Élfico	sim	sim	ok	ok	PRONTO
15876	C_RTC_Second_Best	topo	578		nao	nao	?	?	SEM TEXTO PTBR
15877	C_P_blossom_Hairpin	meio	2085		nao	nao	?	?	SEM TEXTO PTBR
15881	C_Rose_Crispinette	topo	2091		nao	nao	?	?	SEM TEXTO PTBR
15882	C_Rhythm_Hairband	topo	1180		nao	nao	?	?	SEM TEXTO PTBR
15888	C_Hand_Of_Devil	topo	1018	[Visual] Garra do Dragão Demoníaco	sim	sim	ok	ok	PRONTO
15889	C_Boitata_Hat_J	topo	808	[Visual] Chapéu de Boitata	sim	sim	ok	ok	PRONTO
15890	C_BLACKDEATHKING_GOLDEN	topo	996		nao	nao	?	?	SEM TEXTO PTBR
15893	C_Helm_Of_Sun_V	topo	138		nao	nao	?	?	SEM TEXTO PTBR
15894	C_Rebirth_Circlet	topo	2120		nao	nao	?	?	SEM TEXTO PTBR
15899	C_Kings_Crown_A	topo	2121		nao	nao	?	?	SEM TEXTO PTBR
15904	C_Love_Guard_V	topo	716		nao	nao	?	?	SEM TEXTO PTBR
15905	C_Helmet_Of_Siegfried_J	topo	1055	[Visual] Capacete Ecoante	sim	sim	ok	ok	PRONTO
15925	C_Splash_Hat	topo	649		nao	nao	?	?	SEM TEXTO PTBR
15926	C_Beer_Server_TH	capa	117		nao	nao	?	?	SEM TEXTO PTBR
15952	C_15th_Nov_Helmet	topo	2296	[Visual] Naga Tailandesa	sim	sim	ok	ok	PRONTO
15953	C_Somtam	meio	2298	[Visual] Carrinho do Zé	sim	sim	ok	ok	PRONTO
15954	C_Wichienmaat_Bangkaew	baixo	2297	[Visual] Espaguete & Lasanha	sim	sim	ok	ok	PRONTO
18740	C_Hair_Of_The_Strong	topo	879	[Visual] Cabelo de Super Saiadim	sim	sim	ok	ok	PRONTO
18741	C_Will_O_Wisp	topo	880	[Visual] Fogo Esmeralda	sim	nao	ok	falta	SEM SPRITE
18742	C_MoonStar_Accessory	meio	881	[Visual] Luar de Cristal	sim	sim	ok	falta	SEM SPRITE
18743	C_Spirit_Of_Chung_E	topo	882		nao	nao	ok	ok	SEM TEXTO PTBR
18744	C_World_Star	meio	883	[Visual] Gotas da Via Láctea	sim	nao	ok	falta	SEM SPRITE
18921	C_Aladdin_Lamp	topo	897		nao	nao	falta	ok	SEM TEXTO PTBR
19015	C_Gemma_Hairband	topo	564		nao	nao	falta	ok	SEM TEXTO PTBR
19158	C_Gemini_Eyes	meio	1456		nao	nao	?	?	SEM TEXTO PTBR
19287	C_Cat_Poring_Balloon	baixo	1438		nao	nao	?	?	SEM TEXTO PTBR
19288	C_Gigant_Helm	topo	1221	[Visual] Elmo Titânico	sim	sim	ok	ok	PRONTO
19289	C_Moon_Eyepatch	meio	1370	[Visual] Tapa-Lua	sim	sim	ok	ok	PRONTO
19290	C_Elder_Devil_Horn	topo	757	[Visual] Chifres Vilanescos	sim	sim	ok	ok	PRONTO
19291	C_Shiba_Inu	meio	1669	[Visual] Doge Fofinho	sim	sim	ok	ok	PRONTO
19292	C_Wildcat_Knit_Cap	topo	1671	[Visual] Boina Selvagem	sim	sim	ok	ok	PRONTO
19293	C_SmartUnderRim_Glasses	meio	1670	[Visual] Óculos Invertidos	sim	sim	ok	ok	PRONTO
19294	C_CatEars_Cyber_HeadP_R	topo	1668	[Visual] Fones de Ouvido Nekobits	sim	sim	ok	ok	PRONTO
19403	Memory_Of_Noodle	topo	1338		nao	nao	?	?	SEM TEXTO PTBR
19424	C_Master_Cat	meio+baixo	1806	[Visual] Crânio de Esqueleão	sim	sim	ok	ok	PRONTO
19459	C_Luna_On_Shoulder	baixo	1881	[Visual] Bebê Lunático	sim	sim	ok	ok	PRONTO
19464	C_Melon_Cap	topo	1878	[Visual] Boina de Melão	sim	sim	ok	ok	PRONTO
19466	C_Small_ocean	topo	1883	[Visual] Presilha de Recifes	sim	sim	ok	ok	PRONTO
19472	C_S_Circlet_Of_Time	topo	1891	[Visual] Visual Circlet do Tempo	sim	sim	ok	ok	PRONTO
19500	T_Mr_Smile	meio+baixo	65		nao	sim	ok	ok	JA TEM
19501	T_Spinx_Helm	topo	137		nao	sim	ok	ok	JA TEM
19502	T_Goggle	topo+meio	1		nao	nao	ok	ok	SEM TEXTO PTBR
19503	T_Munak_Hat	topo+meio+baixo	51		nao	nao	ok	ok	SEM TEXTO PTBR
19504	T_Sunglasses	meio	12		nao	sim	ok	ok	JA TEM
19505	T_Cigarette	baixo	54		nao	sim	ok	ok	JA TEM
19506	T_Valkyrie_Feather_Band	topo	300		nao	sim	ok	ok	JA TEM
19507	Clear_Sun	topo	654	[Visual] Sol Risonho	sim	sim	ok	ok	JA TEM
19508	T_Gemmed_Sallet	topo			nao	nao	ok	falta	SEM VIEW
19509	Butterfly_Wing_Ear	meio	695	[Visual] Asas de Borboleta	sim	sim	ok	ok	PRONTO
19510	Nut_On_Head	meio	696	[Visual] Parafusos Soltos	sim	sim	ok	ok	PRONTO
19511	Heart_Eye_Patch1	meio	697	[Visual] Tapa-Olho Estiloso	sim	sim	ok	ok	PRONTO
19512	Heart_Eye_Patch2	meio	698	[Visual] Tapa-Olho Estiloso	sim	sim	ok	ok	PRONTO
19513	Chicken_Beak	baixo	699	[Visual] Bico de Galinha	sim	sim	ok	ok	PRONTO
19514	Charlie_Beard	baixo	700	[Visual] Bigode de Vassoura	sim	sim	ok	ok	PRONTO
19515	Yellow_Hat	topo	701	[Visual] Chapéu Amarelo com Pluma	sim	sim	ok	ok	PRONTO
19516	Singing_Bird	topo	702	[Visual] Passarinho de Canto Agudo	sim	sim	ok	ok	PRONTO
19517	Cocks_Comb	topo	703	[Visual] Crista de Galo	sim	sim	ok	ok	PRONTO
19518	Rainbow	topo	704	[Visual] Arco-Íris	sim	sim	ok	ok	PRONTO
19519	Lightning_Cloud	topo	688	[Visual] Nuvem com Raios	sim	sim	ok	ok	PRONTO
19520	Rain_Cloud	topo	705	[Visual] Nuvem Chuvosa	sim	sim	ok	ok	PRONTO
19521	Charlie_Hat	topo	706	[Visual] Chapéu Antigo	sim	sim	ok	ok	PRONTO
19522	Mini_Crown1	topo	707	[Visual] Minicoroa	sim	sim	ok	ok	PRONTO
19523	Donation_Ribbon	topo	244		nao	nao	?	?	SEM TEXTO PTBR
19524	C_Green_Feeler	topo	85		nao	nao	?	?	SEM TEXTO PTBR
19525	C_Jack_A_Dandy	topo	58	[Visual] Óculos Elegantes	sim	sim	ok	ok	PRONTO
19526	C_Helm	topo	40	[Visual] Elmo de Sucata	sim	sim	ok	ok	PRONTO
19527	C_Sharp_Gear	topo	43	[Visual] Tiara Pontuda	sim	sim	ok	ok	PRONTO
19528	C_Iron_Cane	baixo	53	[Visual] Bevor de Plástico	sim	sim	ok	ok	PRONTO
19529	C_Angelic_Chain	topo	38	[Visual] Tiara de Anjo	sim	sim	ok	ok	PRONTO
19530	C_Wild_Rose	topo	541		nao	nao	?	?	SEM TEXTO PTBR
19531	C_Cube_Mask	meio+baixo	472		nao	nao	?	?	SEM TEXTO PTBR
19532	C_Red_Bunny_Band	topo	640	[Visual] Orelhas da Lebre Rubra	sim	nao	ok	ok	PRONTO
19533	C_Spore_Hat	topo	114	[Visual] Touca de Esporo	sim	sim	ok	ok	PRONTO
19534	C_Tha_Despero_Mask	meio+baixo	693	[Visual] Rosto do Despero	sim	nao	ok	ok	PRONTO
19535	C_Sinsuncho_Hat	topo	730	[Visual] Caule de Ginseng	sim	sim	ok	ok	PRONTO
19536	C_Rose_Corsage	topo	533	[Visual] Tiara de Rosas	sim	sim	ok	ok	PRONTO
19537	C_Gryphon_Hat	topo	591	[Visual] Bebê Grifo	sim	sim	ok	ok	PRONTO
19538	Full_Moon	topo	780	[Visual] Luar Intenso	sim	sim	ok	ok	PRONTO
19539	C_Reginleif_Hairband	topo+meio	468		nao	nao	ok	ok	SEM TEXTO PTBR
19540	C_Rabbit_Earplug	topo+meio	515	[Visual] Protetor com Coelhinhos	sim	sim	ok	ok	PRONTO
19541	C_Romantic_White_Flower	baixo	259	[Visual] Flor Amável Branca	sim	sim	ok	ok	PRONTO
19542	C_Devil_Whisper	meio	712	[Visual] Fantasma Travesso	sim	sim	ok	ok	PRONTO
19543	Oliver_Wolf_Hood	topo	849	[Visual] Capuz do Lobo Oliver	sim	sim	ok	ok	PRONTO
19544	C_Tare_Neko_Cru	topo	692	[Visual] Chapéu de Gatinho Assustado	sim	sim	ok	ok	PRONTO
19545	C_Boys_Cap	topo	102	[Visual] Quepe da Ostentação	sim	sim	ok	ok	PRONTO
19546	C_Valkyrie_Helm	topo	225	[Visual] Disfarce de Valquíria	sim	sim	ok	ok	PRONTO
19547	C_Deviruchi_Cap	topo	123	[Visual] Touca de Anime	sim	sim	ok	ok	PRONTO
19548	C_Frog_Cap	topo	448	[Visual] Chapéu do Gama-sama	sim	sim	ok	ok	PRONTO
19549	C_Magestic_Goat	topo	41	[Visual] Chifres Enormes	sim	sim	ok	ok	PRONTO
19550	C_Blush	meio	125	[Visual] Bochechas Coradas	sim	sim	ok	ok	PRONTO
19551	C_Elven_Ears	meio	73	[Visual] Símbolo Élfico	sim	sim	ok	ok	PRONTO
19552	C_Centimental_Flower	baixo	56	[Visual] Flor de Plástico	sim	sim	ok	ok	PRONTO
19553	C_Assassin_Mask_	baixo	180	[Visual] Disfarce do Assassino	sim	sim	ok	ok	PRONTO
19554	C_Hahoe_Mask	meio+baixo	230	[Visual] Máscara Tradicional	sim	sim	ok	ok	PRONTO
19555	C_Crescent_Helm	topo+meio	213	[Visual] Elmo da Lua Crescente	sim	sim	ok	ok	PRONTO
19556	C_Kabuki_Mask	topo+meio+baixo	214		nao	nao	ok	ok	SEM TEXTO PTBR
19557	C_Ayothaya_Hat	topo	334		nao	nao	?	?	SEM TEXTO PTBR
19558	C_Raven_Cap	topo	524		nao	nao	?	?	SEM TEXTO PTBR
19559	C_B_Dragon_Hat	topo	525		nao	nao	?	?	SEM TEXTO PTBR
19560	C_Quati_Hat	topo	527		nao	nao	?	?	SEM TEXTO PTBR
19561	C_Tucan_Hat	topo+meio	528		nao	nao	?	?	SEM TEXTO PTBR
19562	C_Jaguar_Hat	topo+meio+baixo	530		nao	nao	?	?	SEM TEXTO PTBR
19563	C_Dragon_Arhat_Mask	meio+baixo	545		nao	nao	?	?	SEM TEXTO PTBR
19564	C_Tiger_Arhat_Mask	meio+baixo	546		nao	nao	?	?	SEM TEXTO PTBR
19565	C_Chung_Hairband	topo	583		nao	nao	?	?	SEM TEXTO PTBR
19566	C_Samurai_Mask	baixo	644	[Visual] Máscara do Xogum	sim	sim	ok	ok	PRONTO
19567	C_Hattah_Black	topo+meio+baixo	676		nao	nao	?	?	SEM TEXTO PTBR
19568	C_Horn_Of_Ancient	topo	757		nao	nao	?	?	SEM TEXTO PTBR
19569	C_Sprout_Hat	topo	758		nao	nao	ok	ok	SEM TEXTO PTBR
19570	C_Mercury_Helm	topo	759		nao	nao	?	?	SEM TEXTO PTBR
19571	C_White_Musang_Hat	topo	770		nao	nao	?	?	SEM TEXTO PTBR
19572	C_Black_Musang_Hat	topo	771		nao	nao	?	?	SEM TEXTO PTBR
19573	C_Heart_Wing_Hairband	topo	733	[Visual] Tiara do Amor	sim	sim	ok	ok	PRONTO
19574	C_Lord_of_Death	topo+meio	742	[Visual] Elmo Sombrio de Cristal	sim	sim	ok	ok	PRONTO
19575	C_Rising_Black_Dragon	topo	863	[Visual] Chapéu de Dragão	sim	sim	ok	ok	PRONTO
19576	C_Tare_Pope	topo	817		nao	nao	?	?	SEM TEXTO PTBR
19577	10th_Anni_Poring_Hat	topo	874	[Visual] Chapéu do 10º Aniversário	sim	sim	ok	ok	PRONTO
19578	C_Goggle	topo+meio	1		nao	nao	?	?	SEM TEXTO PTBR
19579	C_Red_Wing_Hat	topo	613		nao	nao	?	?	SEM TEXTO PTBR
19580	C_Sphinx_Helm	topo+baixo	137		nao	nao	ok	ok	SEM TEXTO PTBR
19581	C_Brabery_Hat	topo	891	[Visual] Chapéu de Camponês	sim	sim	ok	ok	PRONTO
19582	C_Cowboy_Hat	topo	411	[Visual] Chapéu do Vaqueiro Izael	sim	sim	ok	ok	PRONTO
19583	C_Gangster_Patch	meio	50	[Visual] Máscara de Zorro	sim	sim	ok	ok	PRONTO
19584	C_Pirate_Dagger	baixo	327	[Visual] Faca de Pirata	sim	sim	ok	ok	PRONTO
19585	C_Feather_Beret	topo	224	[Visual] Boina Alada Visual	sim	sim	ok	ok	PRONTO
19586	C_Pink_Bunny_Band_J	topo	898		nao	nao	?	?	SEM TEXTO PTBR
19587	C_King_Poring_Hat	topo	905	[Visual] Visual do Rei Poring	sim	sim	ok	ok	PRONTO
19588	C_Cat_Hat_J	topo	182		nao	nao	?	?	SEM TEXTO PTBR
19589	C_Fallen_Angel_Lost_J	topo	907	[Visual] Tiara de Randgris	sim	sim	ok	ok	PRONTO
19590	C_Twin_Ribbon_J	topo	239	[Visual] Laços da Paixão	sim	sim	ok	ok	PRONTO
19591	C_Red_Ribbon_J	topo	246		nao	nao	?	?	SEM TEXTO PTBR
19592	C_Hibiscus_J	topo	210		nao	nao	?	?	SEM TEXTO PTBR
19593	C_Laurel_Wreath_J	topo	237		nao	nao	?	?	SEM TEXTO PTBR
19594	C_Geographer_J	topo	238		nao	nao	?	?	SEM TEXTO PTBR
19595	C_Dress_Hat_J	topo	265		nao	nao	?	?	SEM TEXTO PTBR
19596	C_Flying_Angel_J	topo	264		nao	nao	?	?	SEM TEXTO PTBR
19597	C_Magic_Eyes_J	topo	209	[Visual] Chapéu da Ordem Arcana	sim	sim	ok	ok	PRONTO
19598	C_Wondering_Wolf_Helm	topo+meio	490	[Visual] Elmo do Rei do Norte	sim	sim	ok	ok	PRONTO
19599	C_Imp_Hat	topo	589	[Visual] Chapéu de Diabrete	sim	sim	ok	ok	PRONTO
19600	Drooping_Kiehl	topo	909	[Visual] Kiel de Pelúcia	sim	sim	ok	ok	PRONTO
19601	Drooping_Aliot	topo	910	[Visual] Chapéu Monstrinho Aliot	sim	sim	ok	ok	PRONTO
19602	C_Invisible_Cap	topo		[Visual] Chapéu Invisível	sim	nao	ok	falta	SEM VIEW
19603	C_Invisible_Sunglasses	meio		[Visual] Óculos Invisível	sim	nao	ok	falta	SEM VIEW
19604	C_Invisible_Mask	baixo		[Visual] Máscara Invisível	sim	nao	ok	falta	SEM VIEW
19605	C_Gang_Scarf	baixo	369	[Visual] Lenço de Rosto (Vermelho)	sim	sim	ok	ok	PRONTO
19606	C_Ninja_Scroll	baixo	370	[Visual] Pergaminho Místico	sim	nao	ok	ok	PRONTO
19607	C_Love_Chick_Hat	topo	500	[Visual] Filhote de Fênix	sim	sim	ok	ok	PRONTO
19608	C_Chick_Hat	topo	311	[Visual] Pintinho Decorativo	sim	sim	ok	ok	PRONTO
19609	C_Red_Glasses	meio	316		nao	nao	?	?	SEM TEXTO PTBR
19610	C_Whisper_Mask	topo+meio+baixo	321		nao	nao	?	?	SEM TEXTO PTBR
19611	C_Pecopeco_Wing_Ears	meio	366		nao	nao	?	?	SEM TEXTO PTBR
19612	C_Headset_OST	topo+meio	220	[Visual] Fones Audio-Poring	sim	sim	ok	ok	PRONTO
19613	C_Valkyrie_Feather_Band	topo	300		nao	nao	?	?	SEM TEXTO PTBR
19614	C_Super_Novice_Hat	topo	193		nao	nao	?	?	SEM TEXTO PTBR
19615	C_Loki_Mask	meio+baixo	346		nao	nao	?	?	SEM TEXTO PTBR
19616	C_Ear_Of_Black_Cat	topo	368		nao	nao	ok	ok	SEM TEXTO PTBR
19617	C_Ear_Of_Puppy	topo	199	[Visual] Orelhas de Filhote	sim	sim	ok	ok	PRONTO
19618	C_Mask_Of_Fox	topo	153	[Visual] Máscara de Nove Caudas	sim	sim	ok	ok	PRONTO
19619	C_Corsair	topo	105		nao	nao	?	?	SEM TEXTO PTBR
19620	C_Detective_Hat	topo	189		nao	nao	?	?	SEM TEXTO PTBR
19621	C_Ear_Of_Devils_Wing	meio	152	[Visual] Orelhas Malignas	sim	sim	ok	ok	PRONTO
19622	C_First_Moon_Hair_Pin	topo	132		nao	nao	?	?	SEM TEXTO PTBR
19623	C_Bizofnil_Wing_Deco	topo	477	[Visual] Pluma Arco-íris	sim	sim	ok	ok	PRONTO
19624	C_Round_Eyes	meio	185		nao	nao	ok	ok	SEM TEXTO PTBR
19625	C_Bunny_Band	topo	15	[Visual] Orelhas Lunares	sim	sim	ok	ok	PRONTO
19626	C_Chullos	topo+meio	287		nao	nao	?	?	SEM TEXTO PTBR
19627	C_Satellite_Hairband	topo	266	[Visual] Tiara de Satélite	sim	sim	ok	ok	PRONTO
19628	C_Headset	topo	87		nao	nao	?	?	SEM TEXTO PTBR
19629	C_Tiara	topo	19	[Visual] Diadema em Ouro	sim	sim	ok	ok	PRONTO
19630	C_Crown	topo	45	[Visual] Coroa Valiosa	sim	sim	ok	ok	PRONTO
19631	C_Boss_Hat	topo	919		nao	nao	?	?	SEM TEXTO PTBR
19632	C_Hat	topo	16		nao	nao	?	?	SEM TEXTO PTBR
19633	C_Flower_Hairband	topo	5		nao	nao	?	?	SEM TEXTO PTBR
19634	C_Flu_Mask	baixo	8	[Visual] Máscara de Segurança	sim	sim	ok	ok	PRONTO
19635	C_Mini_Propeller	topo	46		nao	nao	?	?	SEM TEXTO PTBR
19636	C_Pierrot_Nose	baixo	49	[Visual] Nariz de Pierrot	sim	sim	ok	ok	PRONTO
19637	C_Nurse_Cap	topo	64		nao	nao	?	?	SEM TEXTO PTBR
19638	C_Mr_Smile	meio+baixo	65		nao	nao	?	?	SEM TEXTO PTBR
19639	C_Sahkkat	topo	67		nao	nao	?	?	SEM TEXTO PTBR
19640	C_Charming_Ribbon	topo	211		nao	nao	?	?	SEM TEXTO PTBR
19641	C_Helm_Of_Darkness	topo+meio	233		nao	nao	?	?	SEM TEXTO PTBR
19642	C_Moonlight_Flower_Hat	topo+meio	268		nao	nao	?	?	SEM TEXTO PTBR
19643	C_Whikebain_Ears	topo	368	[Visual] Orelhas da Wickebine	sim	sim	ok	ok	PRONTO
19644	C_Takius_Blindfold	meio	184		nao	nao	?	?	SEM TEXTO PTBR
19645	C_Chinese_Crown	topo	221		nao	nao	?	?	SEM TEXTO PTBR
19646	C_Ramen_Hat	topo	320		nao	nao	?	?	SEM TEXTO PTBR
19647	C_Red_Deviruchi_Cap	topo	271		nao	nao	?	?	SEM TEXTO PTBR
19648	C_Fallen_Leaves	topo	241		nao	nao	?	?	SEM TEXTO PTBR
19649	C_White_Baby_Cat_Ears	topo	926	[Visual] Orelhas Brancas de Gatinho	sim	sim	ok	ok	PRONTO
19650	C_Rainbow_Feather_Deco	topo	934	[Visual] Adorno Arco-íris	sim	sim	ok	ok	PRONTO
19651	C_RWC_Shouting_Mouth	baixo	194		nao	nao	ok	ok	SEM TEXTO PTBR
19652	C_Rabbit_Magic_Hat	topo	497	[Visual] Cartola Visual de Mágico	sim	sim	ok	ok	PRONTO
19653	C_Marcher_Hat	topo	269	[Visual] Chapéu da Banda Real	sim	nao	ok	ok	PRONTO
19654	C_J_Captain_Hat	topo	367	[Visual] Chapéu do Timoneiro	sim	sim	ok	ok	PRONTO
19655	C_Tiraya_Bonnet	topo	398	[Visual] Cartorta	sim	nao	ok	ok	PRONTO
19656	C_Minstrel_Hat	topo	240	[Visual] Chapéu do Bardo Verde	sim	sim	ok	ok	PRONTO
19657	C_Captain_Hat	topo	236	[Visual] Quepe do Capitão	sim	sim	ok	ok	PRONTO
19658	C_Vacation_Hat	topo	315	[Visual] Chapéu de Praia	sim	nao	ok	ok	PRONTO
19659	C_Gray_Fur_Hat	topo	279	[Visual] Touca com Pompom	sim	sim	ok	ok	PRONTO
19660	C_Coppola	topo	252	[Visual] Boina Magenta	sim	sim	ok	ok	PRONTO
19661	C_Sweet_Bonnet	topo	938	[Visual] Cartola Adocicada	sim	sim	ok	ok	PRONTO
19662	C_Magician_Hat	topo	130		nao	nao	?	?	SEM TEXTO PTBR
19663	Wishing_Sky_Lantern	topo	947		nao	nao	?	?	SEM TEXTO PTBR
19664	C_Campus_Festival	topo	721		nao	nao	?	?	SEM TEXTO PTBR
19665	C_Poring_Cake_Cap	topo	417		nao	nao	?	?	SEM TEXTO PTBR
19666	C_Cookie_Hat	topo	217	[Visual] Gorro de Cookie	sim	sim	ok	ok	PRONTO
19667	C_Helm_Of_Dragoon	topo	464	[Visual] Capacete Dracônico	sim	sim	ok	ok	PRONTO
19668	C_Wind_Milestone	topo	463	[Visual] Boina Vermelha do Mensageiro	sim	sim	ok	ok	PRONTO
19669	C_Reginleif_Wings_J	meio	468	[Visual] Legado de Reginleif	sim	sim	ok	ok	PRONTO
19670	C_Southern_Cross	topo	601	[Visual] Joia do Sul	sim	sim	ok	ok	PRONTO
19671	C_Pig_Moneybox	topo	603	[Visual] Porquinho da Fortuna	sim	sim	ok	ok	PRONTO
19672	C_Poring_Letter	baixo	604		nao	nao	falta	ok	SEM TEXTO PTBR
19673	C_Love_Guard	topo+meio	716	[Visual] Mitra dos Ajudantes	sim	sim	ok	ok	PRONTO
19674	C_Evil_Mask	meio+baixo	714		nao	nao	falta	ok	SEM TEXTO PTBR
19675	C_Jumping_Poring	topo	349		nao	nao	ok	ok	SEM TEXTO PTBR
19676	C_Rainbow_Poring_Hat	topo	900	[Visual] Chapéu do Poring Prismático	sim	sim	ok	ok	PRONTO
19677	C_Soulless_Wing	topo	301	[Visual] Auréola Espiritual	sim	sim	ok	ok	PRONTO
19678	C_Bell_Ribbon	topo	388	[Visual] Lacinho com Sinos	sim	sim	ok	ok	PRONTO
19679	C_Round_Eyes_J	meio	185	[Visual] Cara de Espanto	sim	sim	ok	ok	PRONTO
19680	C_Tongue_Mask	meio+baixo	253	[Visual] Máscara da Criança Travessa	sim	sim	ok	ok	PRONTO
19681	C_Silver_Tiara	topo	218	[Visual] Tiara Prateada	sim	sim	ok	ok	PRONTO
19682	C_Santa_Poring_Hat	topo	387	[Visual] Chapéu de Poring Noel	sim	sim	ok	ok	PRONTO
19683	C_Sweet_Candy	baixo	414	[Visual] Pirulito Azedinho	sim	sim	ok	ok	PRONTO
19684	C_Happy_Wig	topo	305	[Visual] Peruca do Visual Carnavalesco	sim	sim	ok	ok	PRONTO
19685	C_ShineSantaPoring	topo	961	[Visual] Chapéu do Super Poring Noel	sim	sim	ok	ok	PRONTO
19686	C_SantaHairband	topo	964	[Visual] Tiara de Papai Noel	sim	sim	ok	ok	PRONTO
19687	C_Lush_Rose	topo	963	[Visual] Presilha Perfumada	sim	sim	ok	ok	PRONTO
19688	C_RJC_Katusa	topo	533		nao	nao	ok	ok	SEM TEXTO PTBR
19689	C_Ati_Atihan_Hat	topo+meio+baixo	303		nao	nao	ok	ok	SEM TEXTO PTBR
19690	C_Dark_Snake_Lord_Hat_J	topo	372	[Visual] Capelo do Equilíbrio	sim	sim	ok	ok	PRONTO
19691	C_Blue_Ribbon	topo	407	[Visual] Lacinhos Discretos	sim	sim	ok	ok	PRONTO
19692	C_Antique_Pipe_J	baixo	383		nao	nao	falta	ok	SEM TEXTO PTBR
19693	C_Triple_Poring_Hat	topo	299	[Visual] Porings Triplo	sim	sim	ok	ok	PRONTO
19694	C_Vane_Hairpin	topo	313		nao	nao	ok	ok	SEM TEXTO PTBR
19695	C_Kettle_Hat	topo	318		nao	nao	ok	ok	SEM TEXTO PTBR
19696	C_Friend_Mochiring_Hat	topo	965		nao	nao	falta	ok	SEM TEXTO PTBR
19697	C_Rudolph_Santa_Hat	topo	619	[Visual] Gorro de Natal do Rudolph	sim	sim	ok	ok	PRONTO
19698	C_Bf_Recruiter_Hat	topo	352		nao	nao	?	?	SEM TEXTO PTBR
19699	C_Gf_Recruiter_Hat	topo	360		nao	nao	?	?	SEM TEXTO PTBR
19700	RWC12_ChampCrown_J	topo	903		nao	nao	?	?	SEM TEXTO PTBR
19701	C_Red_Bonnet	topo	190	[Visual] Capuz Vermelho	sim	sim	ok	ok	PRONTO
19702	C_Santa_Hat_1	topo	390	[Visual] Gorro Natalino Vermelho	sim	sim	ok	ok	PRONTO
19703	C_Afro_Wig_Black	topo	969	[Visual] Peruca Afro Blackpower	sim	sim	ok	ok	PRONTO
19704	C_Afro_Wig_Red	topo	970		nao	nao	?	?	SEM TEXTO PTBR
19705	C_Afro_Wig_Yellow	topo	971		nao	nao	?	?	SEM TEXTO PTBR
19706	C_Red_Dress_Hat	topo	670		nao	nao	?	?	SEM TEXTO PTBR
19707	C_Polar_Bear_Cap	topo	966	[Visual] Urso Polar	sim	sim	ok	ok	PRONTO
19708	Elizabeth	topo	413		nao	nao	?	?	SEM TEXTO PTBR
19709	C_Yellow_Ribbon	topo	310	[Visual] Lacinho de Fruto de Yggdrasil	sim	sim	ok	ok	PRONTO
19710	C_Wings_Of_Victory	topo+meio	365	[Visual] Asas da Vitória	sim	sim	ok	ok	PRONTO
19711	C_Kafra_Band	topo	106		nao	nao	?	?	SEM TEXTO PTBR
