# ingles	portugues - gerado por docs/gerar-nomes-mob.py
Dark Lord	Senhor das Trevas
Orc Lady	Senhora Orc
Raydric Archer	Raydric Arqueiro
Greatest General	Guardião da Floresta
Stalactic Golem	Golem Estalactítico
Tri Joint	Trilobita
Goblin Steamrider	Goblin a Vapor
Sage Worm	Minhoca Sage
Kobold Archer	Kobold Arqueiro
Chimera	Quimera
Maya Purple	Maya Macho
Skeleton General	Esqueleto General
Wraith Dead	Aparição
Mini Demon	Diabinho
Creamy Fear	Creamy Ameaçador
Killer Mantis	Mantis Assassino
Owl Baron	Barão Coruja
Kobold Leader	Líder Kobold
Ancient Mummy	Múmia Anciã
Zombie Master	Zumbi Mestre
Goblin Leader	Líder Goblin
Caterpillar	Lagarta
Dark Illusion	Ilusão das Trevas
Giant Hornet	Zangão Gigante
Giant Spider	Aranha Gigante
Ancient Worm	Verme Ancião
Turtle General	General Tartaruga
Mobster	Yakuza
Permeter	Batedor
Assaulter	Agressor
Solider	Solidificador
Seal	Selo
Heater	Aquecedor
Freezer	Congelador
Owl Duke	Duque Coruja
Dragon Tail	Lavadeira
Spring Rabbit	Coelho
Sea Otter	Lontra
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Assaulter	Agressor
Apocalypse	Apocalipse
Lava Golem	Golem de Lava
Geographer	Planta Carnívora
False Angel	Anjo Fajuto
Goat	Bode
Lord of the Dead	Senhor dos Mortos
The Paper	Papel
Harpy	Harpia
Elder	Ancião
Demon Pungus	Pungus
Nightmare Terror	Pesadelo Sombrio
Driller	Furador
Diabolic	Diabolik
Explosion	Estrondo
Deleter	Deletério
Deleter	Deletério
Sleeper	Dorminhoco
Gig	Ferrão
Arc Angeling	ArchAngeling
Dracula	Drácula
Galapago	Pingu
Rotar Zairo	Giro-Goblin
Mummy	Múmia
Zombie	Zumbi
Baphomet	Bafomé
Firelock Soldier	Zumbi Atirador
Miyabi Doll	Miyabi Ningyo
Bloody Butterfly	Borboleta Sanguinária
Dumpling Child	Pirralho
Enchanted Peach Tree	Pessegueira Encantada
Taoist Hermit	Ermitão Maligno
Hermit Plant	Ginseng Selvagem
Baby Leopard	Filhote de Leopardo
Evil Nymph	Ninfa Perversa
Zipper Bear	Zipper
Evil Snake Lord	Serpente Suprema
Archer Skeleton	Esqueleto Arqueiro
Hunter Fly	Mosca Caçadora
Ghoul	Carniçal
Side Winder	Sorrateiro
Marc	Cavalo-Marinho
Nightmare	Pesadelo
Poison Spore	Esporo Venenoso
Baphomet Jr.	Bafomé Jr.
Desert Wolf	Lobo do Deserto
Evil Druid	Druida Maligno
Joker	Coringa
High Orc	Grand Orc
Stem Worm	Talo de Verme
Penomena	Penômena
Cruiser	Soldadinho de Chumbo
Injustice	Injustiçado
Gryphon	Grifo
Dark Frame	Moldura Maldita
Mutant Dragonoid	Dragão Mutante
Wind Ghost	Xamã do Vento
Merman	Tritão
Orc Lady	Senhora Orc
Raydric Archer	Raydric Arqueiro
Tri Joint	Trilobita
Kobold Archer	Kobold Arqueiro
Chimera	Quimera
Mantis	Louva-a-Deus
Marionette	Marionete
Minorous	Minoroso
Orc Skeleton	Orc Esqueleto
Orc Zombie	Orc Zumbi
Nine Tail	Nove Caudas
Orc Archer	Orc Arqueiro
Mimic	Mímico
Wraith	Alma Penada
Alarm	Alarme
Arclouze	Arclouse
Skeleton Prisoner	Esqueleto Prisioneiro
Zombie Prisoner	Zumbi Prisioneiro
Zealotus	Jirtas
Phendark	Fendark
Ogretooth	Tirfing
Executioner	Executor
Wanderer	Andarilho
Samurai Specter	Samurai Encarnado
Dryad	Dríade
Beetle King	Encouraçado
Stone Shooter	Atirador de Pedras
Wooden Golem	Golem de Madeira
Wootan Shooter	Artilheiro Wootan
Wootan Fighter	Guerreiro Wootan
Parasite	Parasita
Gibbet	Árvore Maldita
Disguise	Mascarado
Bloody Murderer	Serial Killer
Heirozoist	Poltergeist
Baby Hatii	Filhote Hatii
White Lady	Lady Branca
Green Maiden	Chung E
Ancient Mummy	Múmia Anciã
Firelock Soldier	Zumbi Atirador
Baby Leopard	Filhote de Leopardo
Bloody Butterfly	Borboleta Sanguinária
Clock	Relógio
Evil Snake Lord	Serpente Suprema
Dracula	Drácula
Taoist Hermit	Ermitão Maligno
Explosion	Estrondo
Seal	Selo
Goblin Leader	Líder Goblin
Greatest General	Guardião da Floresta
Kobold Leader	Líder Kobold
Lava Golem	Golem de Lava
Enchanted Peach Tree	Pessegueira Encantada
Miyabi Doll	Miyabi Ningyo
Myst	Névoa
Nightmare Terror	Pesadelo Sombrio
Parasite	Parasita
Poisonous Toad	Sapo Venenoso
Rotar Zairo	Giro-Goblin
Sandman	Arenoso
Scorpion	Escorpião
Smokie	Fumacento
Soldier Skeleton	Esqueleto Soldado
Evil Nymph	Ninfa Perversa
Hermit Plant	Ginseng Selvagem
Wraith Dead	Aparição
Ancient Worm	Verme Ancião
Bloody Knight	Cavaleiro Sangrento
Cramp	Cãibra
Elder	Ancião
Elder Willow	Salgueiro Ancião
Goblin Archer	Goblin Arqueiro
Hydra	Hidra
Leaf Cat	Gato de Folha
Mandragora	Mandrágora
Geographer	Planta Carnívora
Lunatic	Lunático
Gangster	Gângster
Ancient Mummy	Múmia Anciã
Freezer	Congelador
Gargoyle	Gárgula
Blazzer	Labareda
Giant Whisper	Cochicho
Heater	Aquecedor
Permeter	Batedor
Solider	Solidificador
Bigfoot	Pé-Grande
Giant Hornet	Zangão Gigante
Dark Illusion	Ilusão das Trevas
Baby Hatii	Filhote Hatii
Obsidian	Obsidiana
Pitman	Mineiros
Old Stove	Fornalha Velha
Noxious	Nuvem Tóxica
Venomous	Nuvem Venenosa
Teddy Bear	Ursinho
Old Stove	Fornalha Velha
Hellion Revenant	Espectro de Hellion
Hill Wind	Vento da Colina
White Lady	Lady Branca
Green Maiden	Chung E
Beholder	Beholder Invasor
Lord Knight Seyren	Lorde Seyren
Assassin Cross Eremes	Algoz Eremes
Sniper Cecil	Atirador de Elite Cecil
High Wizard Kathryne	Arquimaga Kathryne
Lord Knight Seyren	Lorde Seyren
Assassin Cross Eremes	Algoz Eremes
Sniper Cecil	Atirador de Elite Cecil
High Wizard Kathryne	Arquimaga Kathryne
Photon Cannon	Canhão de Fóton
Photon Cannon	Canhão de Fóton
Photon Cannon	Canhão de Fóton
Photon Cannon	Canhão de Fóton
Hill Wind	Vento da Colina
Photon Cannon	Canhão de Fóton
Orc Baby	Filhote de Orc
White Lady	Lady Branca
Spring Rabbit	Coelho
Death Word	Palavra Morta
Ancient Mimic	Mímico Antigo
Dame of Sentinel	Anjo da Observação
Mistress of Shelter	Abrigo
Baroness of Retribution	Retribuição
Lady Solace	Senhora do Conforto
Odium of Thanatos	Odium de Thanatos
Despero of Thanatos	Despero de Thanatos
Maero of Thanatos	Maero de Thanatos
Dolor of Thanatos	Pesar de Thanatos
Memory of Thanatos	Memória de Thanatos
Odium of Thanatos	Odium de Thanatos
Despero of Thanatos	Despero de Thanatos
Maero of Thanatos	Maero de Thanatos
Dolor of Thanatos	Pesar de Thanatos
Acidus	Wyvern Dourado
Acidus	Wyvern Dourado
Dragon Egg	Ovo de Draco
Photon Cannon	Canhão de Fóton
Lunatic	Lunático
Savage Babe	Bebê Selvagem
Baby Desert Wolf	Filhote de Lobo
Baphomet Jr.	Bafomé Jr.
Treasure Chest	Baú do Tesouro
Myst Case	Presente
Wild Rose	Rosa Selvagem
Boa	Jiboia
Anacondaq	Anaconda
Red Plant	Planta vermelha
Valkyrie Randgris	Valquíria Randgris
Acidus	Wyvern Dourado
Acidus	Wyvern Dourado
Valkyrie	Valquíria
Gloom Under Night	Pesar Noturno
Seeker	Rastreador
Snowier	Yeti
Ice Titan	Titã de Gelo
Ice Titan	Titã de Gelo
Iceicle	Estalactite
Soccer Ball	Bola de Futebol
Bloody Knight	Cavaleiro Sangrento
Treasure Chest	Baú do Tesouro
Lord Knight Seyren	Lorde Seyren
Assassin Cross Eremes	Algoz Eremes
Mastersmith Howard	Mestre Ferreiro Howard
Sniper Cecil	Atirador de Elite Cecil
High Wizard Kathryne	Arquimaga Kathryne
Lord Knight Seyren	Lorde Seyren
Assassin Cross Eremes	Algoz Eremes
Mastersmith Howard	Mestre Ferreiro Howard
Sniper Cecil	Atirador de Elite Cecil
High Wizard Kathryne	Arquimaga Kathryne
Moonlight Flower	Flor do Luar
Alarm	Alarme
Bigfoot	Pé-Grande
Desert Wolf	Lobo do Deserto
Freezer	Congelador
Baby Hatii	Filhote Hatii
Myst	Névoa
Salamander	Salamandra
Salamander	Salamandra
Knocker	Golpeador
Golden Savage	Selvagem Dourado
Treasure Box	Tesouro
Dream Metal	Emperium
Baphomet	Bafomé
Osiris	Osíris
Orc Hero	Orc Herói
Mobster	Yakuza
Poison Spore	Esporo Venenoso
Magnolia	Magnólia
Plankton	Plâncton
Mandragora	Mandrágora
Coco	Belinha
Spring Rabbit	Coelho
Zombie Slaughter	Massacre
Ragged Zombie	Zumbi Dilacerado
Flame Skull	Crânio Flamejante
Necromancer	Necromante
Hell Fly	Mosca Infernal
Beelzebub	Belzebu
Beelzebub	Belzebu
Dead King	Rei morto
Lord of the Dead	Senhor dos Mortos
Crystal	Cristal
Shining Plant	Planta Brilhante
Wood Goblin	Leshij
Baba Yaga	Baba-Yaga
Uzhas	Kikimora
Gopinich	Gorynych
Freezer	Congelador
Baby Hatii	Filhote Hatii
Valkyrie	Valquíria
Abysmal Knight	Cavaleiro do Abismo
Pouring	Aguaring
Baphomet	Bafomé
Zombie	Zumbi
Sword Guardian	Cavaleiro Guardião
Treasure Box	Tesouro
Treasure Box	Tesouro
Barricade	Barricada
Barricade	Barricada
Guardian Stone	Pedra Guardiã
Guardian Stone	Pedra Guardiã
Food Storage	Suprimentos
Food Depot	Suprimentos
Neutrality Flag	Bandeira Neutra
Lion Flag	Bandeira de Leão
Eagle Flag	Bandeira de Águia
Blue Crystal	Cristal Azul
Pink Crystal	Cristal Rosa
Whisper	Sussurro
Wish Maiden	Desejo da Donzela
Garden Keeper	Jardineiro
Garden Watcher	Vigia do Jardim
Blue Flower	Flor Azul
Red Flower	Flor Vermelha
Yellow Flower	Flor Amarela
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Treasure Chest	Baú do Tesouro
Crystal	Cristal
Crystal	Cristal
Crystal	Cristal
Crystal	Cristal
Treasure Chest	Baú do Tesouro
Thorny Skeleton	Esqueleto Espinhoso
Thorn of Recovery	Esqueleto Espinhoso
Thorn of Magic	Esqueleto Espinhoso
Thorn of Purification	Esqueleto Espinhoso
Christmas Thief	Ladrão de Biscoitos
Nightmare	Pesadelo
Wild Rose	Rosa Selvagem
Marc	Cavalo-Marinho
Banshee Master	Senhora das Banshees
Cobalt Mineral	Cobalto
Heavy Metaling	Metaling Pesado
Hell Apocalypse	Apocalipse Infernal
Safeguard Chief	Chefe da Guarda Orc
Orc Sniper	Orc Atirador
Shaman Cargalache	Xamã Cargalache
Centipede	Centopeia
Hillslion	Leão da Montanha
Hardrock Mammoth	Mamute Rochoso
Tendrilion	Leão de Vinhas
Hillslion	Leão da Montanha
Centipede Larva	Larva de Centopeia
Dark Pinguicula	Pinguicula Sombria
Aqua Elemental	Elemental da Água
Rata	Ratatosk
Ancient Tree	Árvore Anciã
Dark Shadow	Sombra Obscura
Bradium Golem	Golem de Bradium
Dark Shadow	Sombra Obscura
Silver Sniper	Artilharia
Magic Decoy	Artilharia Arcana
Magic Decoy	Artilharia Arcana
Magic Decoy	Artilharia Arcana
Magic Decoy	Artilharia Arcana
Bradium Golem	Golem de Bradium
Cramp	Cãibra
Boitata	Boitatá
Piranha	Espírito da Água
Headless Mule	Mula Sem Cabeça
Jaguar	Espírito da Terra
Toucan	Espírito do Vento
Shadow of Deception	Sombra da Decepção
Shadow of Illusion	Sombra da Ilusão
Shadow of Pleasure	Sombra do Prazer
Strange Hydra	Anêmona
Piranha	Espírito da Água
